month_TA1305000030,week_TA1305000030,day_TA1305000030,hour_TA1305000030,month_TA1306000010,week_TA1306000010,day_TA1306000010,hour_TA1306000010,month_TA1307000120,week_TA1307000120,day_TA1307000120,hour_TA1307000120,month_TA1307000126,week_TA1307000126,day_TA1307000126,hour_TA1307000126,y
0,0,0,0,0,0,0,0,9,0,13,22,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,13,23,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,20,0,0,0,0,0,2
0,0,0,0,0,0,0,0,9,0,20,5,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,20,7,0,0,0,0,8
0,0,0,0,0,0,0,0,9,0,20,8,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,20,9,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,20,10,0,0,0,0,2
0,0,0,0,0,0,0,0,9,0,20,11,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,20,12,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,20,13,0,0,0,0,5
0,0,0,0,0,0,0,0,9,0,20,14,0,0,0,0,5
0,0,0,0,0,0,0,0,9,0,20,15,0,0,0,0,7
0,0,0,0,0,0,0,0,9,0,20,16,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,20,17,0,0,0,0,10
0,0,0,0,0,0,0,0,9,0,20,18,0,0,0,0,13
0,0,0,0,0,0,0,0,9,0,20,19,0,0,0,0,9
0,0,0,0,0,0,0,0,9,0,20,20,0,0,0,0,5
0,0,0,0,0,0,0,0,9,0,20,21,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,20,22,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,20,23,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,27,0,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,27,1,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,27,4,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,27,5,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,27,6,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,27,7,0,0,0,0,10
0,0,0,0,0,0,0,0,9,0,27,8,0,0,0,0,10
0,0,0,0,0,0,0,0,9,0,27,9,0,0,0,0,5
0,0,0,0,0,0,0,0,9,0,27,10,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,27,11,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,27,12,0,0,0,0,6
0,0,0,0,0,0,0,0,9,0,27,13,0,0,0,0,6
0,0,0,0,0,0,0,0,9,0,27,14,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,27,15,0,0,0,0,2
0,0,0,0,0,0,0,0,9,0,27,16,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,27,17,0,0,0,0,14
0,0,0,0,0,0,0,0,9,0,27,18,0,0,0,0,21
0,0,0,0,0,0,0,0,9,0,27,19,0,0,0,0,6
0,0,0,0,0,0,0,0,9,0,27,20,0,0,0,0,2
0,0,0,0,0,0,0,0,9,0,27,21,0,0,0,0,5
0,0,0,0,0,0,0,0,9,0,27,22,0,0,0,0,1
